Entry	Entry name	Protein description	Gene name	Organism
Q57083	PERR_ECOLI	PERR_ECOLI HTH-type transcriptional regulator PerR	perR	Escherichia coli (strain K12)
Q57261	TRUD_ECOLI	TRUD_ECOLI tRNA pseudouridine synthase D	truD	Escherichia coli (strain K12)
Q587I9	SFT2C_HUMAN	SFT2C_HUMAN Vesicle transport protein SFT2C	SFT2D3	Homo sapiens
Q587J7	TDR12_HUMAN	TDR12_HUMAN Putative ATP-dependent RNA helicase TDRD12	TDRD12	Homo sapiens
Q587J8	KHDC3_HUMAN	KHDC3_HUMAN KH domain-containing protein 3	KHDC3L	Homo sapiens
Q58A44	PCOTH_HUMAN	PCOTH_HUMAN Prostate collagen triple helix protein	PCOTH	Homo sapiens
Q58A45	PAN3_HUMAN	PAN3_HUMAN PAN2-PAN3 deadenylation complex subunit PAN3	PAN3	Homo sapiens
Q58DX5	NADL2_HUMAN	NADL2_HUMAN Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2	NAALADL2	Homo sapiens
Q58EX2	SDK2_HUMAN	SDK2_HUMAN Protein sidekick-2	SDK2	Homo sapiens
Q58EX7	PKHG4_HUMAN	PKHG4_HUMAN Puratrophin-1	PLEKHG4	Homo sapiens
Q58F21	BRDT_HUMAN	BRDT_HUMAN Bromodomain testis-specific protein	BRDT	Homo sapiens
Q58FF3	ENPLL_HUMAN	ENPLL_HUMAN Putative endoplasmin-like protein	HSP90B2P	Homo sapiens
Q58FF6	H90B4_HUMAN	H90B4_HUMAN Putative heat shock protein HSP 90-beta 4	HSP90AB4P	Homo sapiens
Q58FF7	H90B3_HUMAN	H90B3_HUMAN Putative heat shock protein HSP 90-beta-3	HSP90AB3P	Homo sapiens
Q58FF8	H90B2_HUMAN	H90B2_HUMAN Putative heat shock protein HSP 90-beta 2	HSP90AB2P	Homo sapiens
Q58FG0	HS905_HUMAN	HS905_HUMAN Putative heat shock protein HSP 90-alpha A5	HSP90AA5P	Homo sapiens
Q58FG1	HS904_HUMAN	HS904_HUMAN Putative heat shock protein HSP 90-alpha A4	HSP90AA4P	Homo sapiens
Q58G82	SY14L_HUMAN	SY14L_HUMAN Putative synaptotagmin-14-like protein	SYT14P1	Homo sapiens
Q58HT5	AWAT1_HUMAN	AWAT1_HUMAN Acyl-CoA wax alcohol acyltransferase 1	AWAT1	Homo sapiens
Q58WW2	DCAF6_HUMAN	DCAF6_HUMAN DDB1- and CUL4-associated factor 6	DCAF6	Homo sapiens
Q59385	COPA_ECOLI	COPA_ECOLI Copper-exporting P-type ATPase	copA	Escherichia coli (strain K12)
Q59EK9	RUN3A_HUMAN	RUN3A_HUMAN RUN domain-containing protein 3A	RUNDC3A	Homo sapiens
Q59GN2	R39L5_HUMAN	R39L5_HUMAN Putative 60S ribosomal protein L39-like 5	RPL39P5	Homo sapiens
Q59H18	TNI3K_HUMAN	TNI3K_HUMAN Serine/threonine-protein kinase TNNI3K	TNNI3K	Homo sapiens
Q5BIV9	SPRN_HUMAN	SPRN_HUMAN Shadow of prion protein	SPRN	Homo sapiens
Q5BJD5	TM41B_HUMAN	TM41B_HUMAN Transmembrane protein 41B	TMEM41B	Homo sapiens
Q5BJE1	CC178_HUMAN	CC178_HUMAN Coiled-coil domain-containing protein 178	CCDC178	Homo sapiens
Q5BJF2	SGMR2_HUMAN	SGMR2_HUMAN Sigma intracellular receptor 2	TMEM97	Homo sapiens
Q5BJF6	ODFP2_HUMAN	ODFP2_HUMAN Outer dense fiber protein 2	ODF2	Homo sapiens
Q5BJH2	TM128_HUMAN	TM128_HUMAN Transmembrane protein 128	TMEM128	Homo sapiens
Q5BJH7	YIF1B_HUMAN	YIF1B_HUMAN Protein YIF1B	YIF1B	Homo sapiens
Q5BKT4	AG10A_HUMAN	AG10A_HUMAN Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	ALG10	Homo sapiens
Q5BKU9	OXLD1_HUMAN	OXLD1_HUMAN Oxidoreductase-like domain-containing protein 1	OXLD1	Homo sapiens
Q5BKX5	CS054_HUMAN	CS054_HUMAN UPF0692 protein C19orf54	C19orf54	Homo sapiens
Q5BKX6	S45A4_HUMAN	S45A4_HUMAN Solute carrier family 45 member 4	SLC45A4	Homo sapiens
Q5BKX8	CAVN4_HUMAN	CAVN4_HUMAN Caveolae-associated protein 4	CAVIN4	Homo sapiens
Q5BKY1	LRC10_HUMAN	LRC10_HUMAN Leucine-rich repeat-containing protein 10	LRRC10	Homo sapiens
Q5BKY6	YV018_HUMAN	YV018_HUMAN Putative uncharacterized protein DKFZp434K191	PE=1	Homo sapiens
Q5BKY9	F133B_HUMAN	F133B_HUMAN Protein FAM133B	FAM133B	Homo sapiens
Q5BKZ1	ZN326_HUMAN	ZN326_HUMAN DBIRD complex subunit ZNF326	ZNF326	Homo sapiens
Q5BLP8	CD048_HUMAN	CD048_HUMAN Neuropeptide-like protein C4orf48	C4orf48	Homo sapiens
Q5BN46	CI116_HUMAN	CI116_HUMAN UPF0691 protein C9orf116	C9orf116	Homo sapiens
Q5BVD1	TTMP_HUMAN	TTMP_HUMAN TPA-induced transmembrane protein	TTMP	Homo sapiens
Q5C9Z4	NOM1_HUMAN	NOM1_HUMAN Nucleolar MIF4G domain-containing protein 1	NOM1	Homo sapiens
Q5CZ79	AN20B_HUMAN	AN20B_HUMAN Ankyrin repeat domain-containing protein 20B	ANKRD20A8P	Homo sapiens
Q5CZA5	ZN805_HUMAN	ZN805_HUMAN Zinc finger protein 805	ZNF805	Homo sapiens
Q5CZC0	FSIP2_HUMAN	FSIP2_HUMAN Fibrous sheath-interacting protein 2	FSIP2	Homo sapiens
Q5D0E6	DALD3_HUMAN	DALD3_HUMAN DALR anticodon-binding domain-containing protein 3	DALRD3	Homo sapiens
Q5D1E8	ZC12A_HUMAN	ZC12A_HUMAN Endoribonuclease ZC3H12A	ZC3H12A	Homo sapiens
Q5D862	FILA2_HUMAN	FILA2_HUMAN Filaggrin-2	FLG2	Homo sapiens
Q5DID0	UROL1_HUMAN	UROL1_HUMAN Uromodulin-like 1	UMODL1	Homo sapiens
Q5DJT8	CT452_HUMAN	CT452_HUMAN Cancer/testis antigen family 45 member A2	CT45A2	Homo sapiens
Q5DT21	ISK9_HUMAN	ISK9_HUMAN Serine protease inhibitor Kazal-type 9	SPINK9	Homo sapiens
Q5DX21	IGS11_HUMAN	IGS11_HUMAN Immunoglobulin superfamily member 11	IGSF11	Homo sapiens
Q5EB52	MEST_HUMAN	MEST_HUMAN Mesoderm-specific transcript homolog protein	MEST	Homo sapiens
Q5EBL2	ZN628_HUMAN	ZN628_HUMAN Zinc finger protein 628	ZNF628	Homo sapiens
Q5EBL4	RIPL1_HUMAN	RIPL1_HUMAN RILP-like protein 1	RILPL1	Homo sapiens
Q5EBL8	PDZ11_HUMAN	PDZ11_HUMAN PDZ domain-containing protein 11	PDZD11	Homo sapiens
Q5EBM0	CMPK2_HUMAN	CMPK2_HUMAN UMP-CMP kinase 2, mitochondrial	CMPK2	Homo sapiens
Q5EBM4	ZN542_HUMAN	ZN542_HUMAN Putative zinc finger protein 542	ZNF542P	Homo sapiens
Q5EBN2	TRI61_HUMAN	TRI61_HUMAN Putative tripartite motif-containing protein 61	TRIM61	Homo sapiens
Q5EE01	CENPW_HUMAN	CENPW_HUMAN Centromere protein W	CENPW	Homo sapiens
Q5EG05	CAR16_HUMAN	CAR16_HUMAN Caspase recruitment domain-containing protein 16	CARD16	Homo sapiens
Q5F1R6	DJC21_HUMAN	DJC21_HUMAN DnaJ homolog subfamily C member 21	DNAJC21	Homo sapiens
Q5FBB7	SGO1_HUMAN	SGO1_HUMAN Shugoshin 1	SGO1	Homo sapiens
Q5FVE4	ACBG2_HUMAN	ACBG2_HUMAN Long-chain-fatty-acid--CoA ligase ACSBG2	ACSBG2	Homo sapiens
Q5FWE3	PRRT3_HUMAN	PRRT3_HUMAN Proline-rich transmembrane protein 3	PRRT3	Homo sapiens
Q5FWF4	ZRAB3_HUMAN	ZRAB3_HUMAN DNA annealing helicase and endonuclease ZRANB3	ZRANB3	Homo sapiens
Q5FWF5	ESCO1_HUMAN	ESCO1_HUMAN N-acetyltransferase ESCO1	ESCO1	Homo sapiens
Q5FWF6	ZN789_HUMAN	ZN789_HUMAN Zinc finger protein 789	ZNF789	Homo sapiens
Q5FWF7	FBX48_HUMAN	FBX48_HUMAN F-box only protein 48	FBXO48	Homo sapiens
Q5FYA8	ARSH_HUMAN	ARSH_HUMAN Arylsulfatase H	ARSH	Homo sapiens
Q5FYB0	ARSJ_HUMAN	ARSJ_HUMAN Arylsulfatase J	ARSJ	Homo sapiens
Q5FYB1	ARSI_HUMAN	ARSI_HUMAN Arylsulfatase I	ARSI	Homo sapiens
Q5GAN3	RNS13_HUMAN	RNS13_HUMAN Probable inactive ribonuclease-like protein 13	RNASE13	Homo sapiens
Q5GAN4	RNS12_HUMAN	RNS12_HUMAN Probable inactive ribonuclease-like protein 12	RNASE12	Homo sapiens
Q5GAN6	RNS10_HUMAN	RNS10_HUMAN Inactive ribonuclease-like protein 10	RNASE10	Homo sapiens
Q5GFL6	VWA2_HUMAN	VWA2_HUMAN von Willebrand factor A domain-containing protein 2	VWA2	Homo sapiens
Q5GH70	XKR9_HUMAN	XKR9_HUMAN XK-related protein 9	XKR9	Homo sapiens
Q5GH72	XKR7_HUMAN	XKR7_HUMAN XK-related protein 7	XKR7	Homo sapiens
Q5GH73	XKR6_HUMAN	XKR6_HUMAN XK-related protein 6	XKR6	Homo sapiens
Q5GH76	XKR4_HUMAN	XKR4_HUMAN XK-related protein 4	XKR4	Homo sapiens
Q5GH77	XKR3_HUMAN	XKR3_HUMAN XK-related protein 3	XKR3	Homo sapiens
Q5GJ75	TP8L3_HUMAN	TP8L3_HUMAN Tumor necrosis factor alpha-induced protein 8-like protein 3	TNFAIP8L3	Homo sapiens
Q5GLZ8	HERC4_HUMAN	HERC4_HUMAN Probable E3 ubiquitin-protein ligase HERC4	HERC4	Homo sapiens
Q5H8A3	NMS_HUMAN	NMS_HUMAN Neuromedin-S	NMS	Homo sapiens
Q5H8A4	PIGG_HUMAN	PIGG_HUMAN GPI ethanolamine phosphate transferase 2	PIGG	Homo sapiens
Q5H8C1	FREM1_HUMAN	FREM1_HUMAN FRAS1-related extracellular matrix protein 1	FREM1	Homo sapiens
Q5H913	AR13A_HUMAN	AR13A_HUMAN ADP-ribosylation factor-like protein 13A	ARL13A	Homo sapiens
Q5H943	KKLC1_HUMAN	KKLC1_HUMAN Kita-kyushu lung cancer antigen 1	CT83	Homo sapiens
Q5H9B9	BM2KL_HUMAN	BM2KL_HUMAN Putative BMP-2-inducible kinase-like protein	BMP2KL	Homo sapiens
Q5H9E4	S2553_HUMAN	S2553_HUMAN Solute carrier family 25 member 53	SLC25A53	Homo sapiens
Q5H9F3	BCORL_HUMAN	BCORL_HUMAN BCL-6 corepressor-like protein 1	BCORL1	Homo sapiens
Q5H9I0	TFDP3_HUMAN	TFDP3_HUMAN Transcription factor Dp family member 3	TFDP3	Homo sapiens
Q5H9J7	BEX5_HUMAN	BEX5_HUMAN Protein BEX5	BEX5	Homo sapiens
Q5H9J9	T11X2_HUMAN	T11X2_HUMAN T-complex protein 11 X-linked protein 2	TCP11X2	Homo sapiens
Q5H9K5	ZMAT1_HUMAN	ZMAT1_HUMAN Zinc finger matrin-type protein 1	ZMAT1	Homo sapiens
Q5H9L2	TCAL5_HUMAN	TCAL5_HUMAN Transcription elongation factor A protein-like 5	TCEAL5	Homo sapiens
Q5H9L4	TAF7L_HUMAN	TAF7L_HUMAN Transcription initiation factor TFIID subunit 7-like	TAF7L	Homo sapiens
Q5H9M0	PWP3B_HUMAN	PWP3B_HUMAN PWWP domain-containing DNA repair factor 3B	PWWP3B	Homo sapiens
Q5H9R4	ARMX4_HUMAN	ARMX4_HUMAN Armadillo repeat-containing X-linked protein 4	ARMCX4	Homo sapiens
Q5H9R7	PP6R3_HUMAN	PP6R3_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3	PPP6R3	Homo sapiens
Q5H9S7	DCA17_HUMAN	DCA17_HUMAN DDB1- and CUL4-associated factor 17	DCAF17	Homo sapiens
Q5H9T9	FSCB_HUMAN	FSCB_HUMAN Fibrous sheath CABYR-binding protein	FSCB	Homo sapiens
Q5H9U9	DDX6L_HUMAN	DDX6L_HUMAN Probable ATP-dependent RNA helicase DDX60-like	DDX60L	Homo sapiens
Q5HY64	FA47C_HUMAN	FA47C_HUMAN Putative protein FAM47C	FAM47C	Homo sapiens
Q5HY92	FIGN_HUMAN	FIGN_HUMAN Fidgetin	FIGN	Homo sapiens
Q5HY98	ZN766_HUMAN	ZN766_HUMAN Zinc finger protein 766	ZNF766	Homo sapiens
Q5HYA8	MKS3_HUMAN	MKS3_HUMAN Meckelin	TMEM67	Homo sapiens
Q5HYC2	K2026_HUMAN	K2026_HUMAN Uncharacterized protein KIAA2026	KIAA2026	Homo sapiens
Q5HYI7	MTX3_HUMAN	MTX3_HUMAN Metaxin-3	MTX3	Homo sapiens
Q5HYI8	RABL3_HUMAN	RABL3_HUMAN Rab-like protein 3	RABL3	Homo sapiens
Q5HYJ1	TECRL_HUMAN	TECRL_HUMAN Trans-2,3-enoyl-CoA reductase-like	TECRL	Homo sapiens
Q5HYJ3	FA76B_HUMAN	FA76B_HUMAN Protein FAM76B	FAM76B	Homo sapiens
Q5HYK3	COQ5_HUMAN	COQ5_HUMAN 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	COQ5	Homo sapiens
Q5HYK7	SH319_HUMAN	SH319_HUMAN SH3 domain-containing protein 19	SH3D19	Homo sapiens
Q5HYK9	ZN667_HUMAN	ZN667_HUMAN Zinc finger protein 667	ZNF667	Homo sapiens
Q5HYL7	TM196_HUMAN	TM196_HUMAN Transmembrane protein 196	TMEM196	Homo sapiens
Q5HYM0	ZC12B_HUMAN	ZC12B_HUMAN Probable ribonuclease ZC3H12B	ZC3H12B	Homo sapiens
Q5HYN5	CT451_HUMAN	CT451_HUMAN Cancer/testis antigen family 45 member A1	CT45A1	Homo sapiens
Q5HYR2	DMRTC_HUMAN	DMRTC_HUMAN Doublesex- and mab-3-related transcription factor C1	DMRTC1	Homo sapiens
Q5HYW2	NHSL2_HUMAN	NHSL2_HUMAN NHS-like protein 2	NHSL2	Homo sapiens
Q5HYW3	RTL5_HUMAN	RTL5_HUMAN Retrotransposon Gag-like protein 5	RTL5	Homo sapiens
Q5I0G3	MDH1B_HUMAN	MDH1B_HUMAN Putative malate dehydrogenase 1B	MDH1B	Homo sapiens
Q5I0X4	CF226_HUMAN	CF226_HUMAN Uncharacterized protein C6orf226	C6orf226	Homo sapiens
Q5I0X7	TTC32_HUMAN	TTC32_HUMAN Tetratricopeptide repeat protein 32	TTC32	Homo sapiens
Q5I7T1	AG10B_HUMAN	AG10B_HUMAN Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	ALG10B	Homo sapiens
Q5IJ48	CRUM2_HUMAN	CRUM2_HUMAN Protein crumbs homolog 2	CRB2	Homo sapiens
Q5J5C9	DB121_HUMAN	DB121_HUMAN Beta-defensin 121	DEFB121	Homo sapiens
Q5J8M3	EMC4_HUMAN	EMC4_HUMAN ER membrane protein complex subunit 4	EMC4	Homo sapiens
Q5J8X5	M4A13_HUMAN	M4A13_HUMAN Membrane-spanning 4-domains subfamily A member 13	MS4A13	Homo sapiens
Q5JNZ3	ZN311_HUMAN	ZN311_HUMAN Zinc finger protein 311	ZNF311	Homo sapiens
Q5JNZ5	RS26L_HUMAN	RS26L_HUMAN Putative 40S ribosomal protein S26-like 1	RPS26P11	Homo sapiens
Q5JPB2	ZN831_HUMAN	ZN831_HUMAN Zinc finger protein 831	ZNF831	Homo sapiens
Q5JPE7	NOMO2_HUMAN	NOMO2_HUMAN Nodal modulator 2	NOMO2	Homo sapiens
Q5JPF3	AN36C_HUMAN	AN36C_HUMAN Ankyrin repeat domain-containing protein 36C	ANKRD36C	Homo sapiens
Q5JPH6	SYEM_HUMAN	SYEM_HUMAN Probable glutamate--tRNA ligase, mitochondrial	EARS2	Homo sapiens
Q5JPI3	CC038_HUMAN	CC038_HUMAN Uncharacterized protein C3orf38	C3orf38	Homo sapiens
Q5JPI9	EFMT2_HUMAN	EFMT2_HUMAN EEF1A lysine methyltransferase 2	EEF1AKMT2	Homo sapiens
Q5JQC4	CT47A_HUMAN	CT47A_HUMAN Cancer/testis antigen 47A	CT47A1	Homo sapiens
Q5JQC9	AKAP4_HUMAN	AKAP4_HUMAN A-kinase anchor protein 4	AKAP4	Homo sapiens
Q5JQD4	PYY3_HUMAN	PYY3_HUMAN Putative peptide YY-3	PYY3	Homo sapiens
Q5JQF7	CF100_HUMAN	CF100_HUMAN Putative uncharacterized protein encoded by LINC01556	LINC01556	Homo sapiens
Q5JQF8	PAP1M_HUMAN	PAP1M_HUMAN Polyadenylate-binding protein 1-like 2	PABPC1L2A	Homo sapiens
Q5JQS5	OR2BB_HUMAN	OR2BB_HUMAN Olfactory receptor 2B11	OR2B11	Homo sapiens
Q5JQS6	GSAML_HUMAN	GSAML_HUMAN Germinal center-associated signaling and motility-like protein	GCSAML	Homo sapiens
Q5JR12	PPM1J_HUMAN	PPM1J_HUMAN Protein phosphatase 1J	PPM1J	Homo sapiens
Q5JR59	MTUS2_HUMAN	MTUS2_HUMAN Microtubule-associated tumor suppressor candidate 2	MTUS2	Homo sapiens
Q5JR98	DYLT4_HUMAN	DYLT4_HUMAN Dynein light chain Tctex-type 4	DYNLT4	Homo sapiens
Q5JRA6	TGO1_HUMAN	TGO1_HUMAN Transport and Golgi organization protein 1 homolog	MIA3	Homo sapiens
Q5JRC9	FA47A_HUMAN	FA47A_HUMAN Protein FAM47A	FAM47A	Homo sapiens
Q5JRK9	GGEE3_HUMAN	GGEE3_HUMAN Putative G antigen family E member 3	PAGE2B	Homo sapiens
Q5JRM2	CX066_HUMAN	CX066_HUMAN Uncharacterized protein CXorf66	CXorf66	Homo sapiens
Q5JRS4	O10J3_HUMAN	O10J3_HUMAN Olfactory receptor 10J3	OR10J3	Homo sapiens
Q5JRV8	T255A_HUMAN	T255A_HUMAN Transmembrane protein 255A	TMEM255A	Homo sapiens
Q5JRX3	PREP_HUMAN	PREP_HUMAN Presequence protease, mitochondrial	PITRM1	Homo sapiens
Q5JS13	RGPS1_HUMAN	RGPS1_HUMAN Ras-specific guanine nucleotide-releasing factor RalGPS1	RALGPS1	Homo sapiens
Q5JS37	NHLC3_HUMAN	NHLC3_HUMAN NHL repeat-containing protein 3	NHLRC3	Homo sapiens
Q5JS54	PSMG4_HUMAN	PSMG4_HUMAN Proteasome assembly chaperone 4	PSMG4	Homo sapiens
Q5JSH3	WDR44_HUMAN	WDR44_HUMAN WD repeat-containing protein 44	WDR44	Homo sapiens
Q5JSJ4	INT6L_HUMAN	INT6L_HUMAN Integrator complex subunit 6-like	INTS6L	Homo sapiens
Q5JSL3	DOC11_HUMAN	DOC11_HUMAN Dedicator of cytokinesis protein 11	DOCK11	Homo sapiens
Q5JSP0	FGD3_HUMAN	FGD3_HUMAN FYVE, RhoGEF and PH domain-containing protein 3	FGD3	Homo sapiens
Q5JSQ8	KHDCL_HUMAN	KHDCL_HUMAN Putative KHDC1-like protein	KHDC1L	Homo sapiens
Q5JSS6	MEIG1_HUMAN	MEIG1_HUMAN Meiosis expressed gene 1 protein homolog	MEIG1	Homo sapiens
Q5JST6	EFHC2_HUMAN	EFHC2_HUMAN EF-hand domain-containing family member C2	EFHC2	Homo sapiens
Q5JSZ5	PRC2B_HUMAN	PRC2B_HUMAN Protein PRRC2B	PRRC2B	Homo sapiens
Q5JT25	RAB41_HUMAN	RAB41_HUMAN Ras-related protein Rab-41	RAB41	Homo sapiens
Q5JT82	KLF17_HUMAN	KLF17_HUMAN Krueppel-like factor 17	KLF17	Homo sapiens
Q5JTB6	PLAC9_HUMAN	PLAC9_HUMAN Placenta-specific protein 9	PLAC9	Homo sapiens
Q5JTC6	AMER1_HUMAN	AMER1_HUMAN APC membrane recruitment protein 1	AMER1	Homo sapiens
Q5JTD0	TJAP1_HUMAN	TJAP1_HUMAN Tight junction-associated protein 1	TJAP1	Homo sapiens
Q5JTD7	LRC73_HUMAN	LRC73_HUMAN Leucine-rich repeat-containing protein 73	LRRC73	Homo sapiens
Q5JTH9	RRP12_HUMAN	RRP12_HUMAN RRP12-like protein	RRP12	Homo sapiens
Q5JTJ3	COA6_HUMAN	COA6_HUMAN Cytochrome c oxidase assembly factor 6 homolog	COA6	Homo sapiens
Q5JTN6	WDR38_HUMAN	WDR38_HUMAN WD repeat-containing protein 38	WDR38	Homo sapiens
Q5JTV8	TOIP1_HUMAN	TOIP1_HUMAN Torsin-1A-interacting protein 1	TOR1AIP1	Homo sapiens
Q5JTW2	CEP78_HUMAN	CEP78_HUMAN Centrosomal protein of 78 kDa	CEP78	Homo sapiens
Q5JTY5	CBWD3_HUMAN	CBWD3_HUMAN COBW domain-containing protein 3	CBWD3	Homo sapiens
Q5JTZ5	CI152_HUMAN	CI152_HUMAN Uncharacterized protein C9orf152	C9orf152	Homo sapiens
Q5JTZ9	SYAM_HUMAN	SYAM_HUMAN Alanine--tRNA ligase, mitochondrial	AARS2	Homo sapiens
Q5JU00	DRC5_HUMAN	DRC5_HUMAN Dynein regulatory complex subunit 5	TCTE1	Homo sapiens
Q5JU67	CF157_HUMAN	CF157_HUMAN Cilia- and flagella-associated protein 157	CFAP157	Homo sapiens
Q5JU69	TOR2A_HUMAN	TOR2A_HUMAN Torsin-2A	TOR2A	Homo sapiens
Q5JU85	IQEC2_HUMAN	IQEC2_HUMAN IQ motif and SEC7 domain-containing protein 2	IQSEC2	Homo sapiens
Q5JUK2	SOLH1_HUMAN	SOLH1_HUMAN Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1	SOHLH1	Homo sapiens
Q5JUK3	KCNT1_HUMAN	KCNT1_HUMAN Potassium channel subfamily T member 1	KCNT1	Homo sapiens
Q5JUK9	PAGE3_HUMAN	PAGE3_HUMAN P antigen family member 3	PAGE3	Homo sapiens
Q5JUQ0	FA78A_HUMAN	FA78A_HUMAN Protein FAM78A	FAM78A	Homo sapiens
Q5JUR7	TEX30_HUMAN	TEX30_HUMAN Testis-expressed protein 30	TEX30	Homo sapiens
Q5JUW0	KRBX4_HUMAN	KRBX4_HUMAN KRAB domain-containing protein 4	KRBOX4	Homo sapiens
Q5JUX0	SPIN3_HUMAN	SPIN3_HUMAN Spindlin-3	SPIN3	Homo sapiens
Q5JV73	FRPD3_HUMAN	FRPD3_HUMAN FERM and PDZ domain-containing protein 3	FRMPD3	Homo sapiens
Q5JVF3	PCID2_HUMAN	PCID2_HUMAN PCI domain-containing protein 2	PCID2	Homo sapiens
Q5JVG2	ZN484_HUMAN	ZN484_HUMAN Zinc finger protein 484	ZNF484	Homo sapiens
Q5JVG8	ZN506_HUMAN	ZN506_HUMAN Zinc finger protein 506	ZNF506	Homo sapiens
Q5JVL4	EFHC1_HUMAN	EFHC1_HUMAN EF-hand domain-containing protein 1	EFHC1	Homo sapiens
Q5JVS0	HABP4_HUMAN	HABP4_HUMAN Intracellular hyaluronan-binding protein 4	HABP4	Homo sapiens
Q5JVX7	CA141_HUMAN	CA141_HUMAN Uncharacterized protein C1orf141	C1orf141	Homo sapiens
Q5JW98	CAHM4_HUMAN	CAHM4_HUMAN Calcium homeostasis modulator protein 4	CALHM4	Homo sapiens
Q5JWF2	GNAS1_HUMAN	GNAS1_HUMAN Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAS	Homo sapiens
Q5JWF8	ACL10_HUMAN	ACL10_HUMAN Actin-like protein 10	ACTL10	Homo sapiens
Q5JWR5	DOP1_HUMAN	DOP1_HUMAN Protein dopey-1	DOP1A	Homo sapiens
Q5JX69	F209B_HUMAN	F209B_HUMAN Protein FAM209B	FAM209B	Homo sapiens
Q5JX71	F209A_HUMAN	F209A_HUMAN Protein FAM209A	FAM209A	Homo sapiens
Q5JXA9	SIRB2_HUMAN	SIRB2_HUMAN Signal-regulatory protein beta-2	SIRPB2	Homo sapiens
Q5JXB2	UE2NL_HUMAN	UE2NL_HUMAN Putative ubiquitin-conjugating enzyme E2 N-like	UBE2NL	Homo sapiens
Q5JXC2	MIIP_HUMAN	MIIP_HUMAN Migration and invasion-inhibitory protein	MIIP	Homo sapiens
Q5JXM2	MET24_HUMAN	MET24_HUMAN Probable methyltransferase-like protein 24	METTL24	Homo sapiens
Q5JXX7	TMM31_HUMAN	TMM31_HUMAN Transmembrane protein 31	TMEM31	Homo sapiens
Q5JY77	GASP1_HUMAN	GASP1_HUMAN G-protein coupled receptor-associated sorting protein 1	GPRASP1	Homo sapiens
Q5JYT7	K1755_HUMAN	K1755_HUMAN Uncharacterized protein KIAA1755	KIAA1755	Homo sapiens
Q5JZY3	EPHAA_HUMAN	EPHAA_HUMAN Ephrin type-A receptor 10	EPHA10	Homo sapiens
Q5K130	CLU1O_HUMAN	CLU1O_HUMAN Putative uncharacterized protein CLLU1-AS1	CLLU1-AS1	Homo sapiens
Q5K131	CLLU1_HUMAN	CLLU1_HUMAN Chronic lymphocytic leukemia up-regulated protein 1	CLLU1	Homo sapiens
Q5K4E3	POLS2_HUMAN	POLS2_HUMAN Polyserase-2	PRSS36	Homo sapiens
Q5K4L6	S27A3_HUMAN	S27A3_HUMAN Solute carrier family 27 member 3	SLC27A3	Homo sapiens
Q5K651	SAMD9_HUMAN	SAMD9_HUMAN Sterile alpha motif domain-containing protein 9	SAMD9	Homo sapiens
Q5KSL6	DGKK_HUMAN	DGKK_HUMAN Diacylglycerol kinase kappa	DGKK	Homo sapiens
Q5KU26	COL12_HUMAN	COL12_HUMAN Collectin-12	COLEC12	Homo sapiens
Q5M775	CYTSB_HUMAN	CYTSB_HUMAN Cytospin-B	SPECC1	Homo sapiens
Q5M7Z0	RNFT1_HUMAN	RNFT1_HUMAN E3 ubiquitin-protein ligase RNFT1	RNFT1	Homo sapiens
Q5M8T2	S35D3_HUMAN	S35D3_HUMAN Solute carrier family 35 member D3	SLC35D3	Homo sapiens
Q5M9N0	CD158_HUMAN	CD158_HUMAN Coiled-coil domain-containing protein 158	CCDC158	Homo sapiens
Q5M9Q1	NKAPL_HUMAN	NKAPL_HUMAN NKAP-like protein	NKAPL	Homo sapiens
Q5MAI5	CDKL4_HUMAN	CDKL4_HUMAN Cyclin-dependent kinase-like 4	CDKL4	Homo sapiens
Q5MCW4	ZN569_HUMAN	ZN569_HUMAN Zinc finger protein 569	ZNF569	Homo sapiens
Q5MIZ7	P4R3B_HUMAN	P4R3B_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 3B	PPP4R3B	Homo sapiens
Q5MJ07	SPXN5_HUMAN	SPXN5_HUMAN Sperm protein associated with the nucleus on the X chromosome N5	SPANXN5	Homo sapiens
Q5MJ08	SPXN4_HUMAN	SPXN4_HUMAN Sperm protein associated with the nucleus on the X chromosome N4	SPANXN4	Homo sapiens
Q5MJ09	SPXN3_HUMAN	SPXN3_HUMAN Sperm protein associated with the nucleus on the X chromosome N3	SPANXN3	Homo sapiens
Q5MJ10	SPXN2_HUMAN	SPXN2_HUMAN Sperm protein associated with the nucleus on the X chromosome N2	SPANXN2	Homo sapiens
Q5MJ68	SPDYC_HUMAN	SPDYC_HUMAN Speedy protein C	SPDYC	Homo sapiens
Q5MJ70	SPDYA_HUMAN	SPDYA_HUMAN Speedy protein A	SPDYA	Homo sapiens
Q5MNV8	FBX47_HUMAN	FBX47_HUMAN F-box only protein 47	FBXO47	Homo sapiens
